system:index,availability_status,figure_id,is_valid_month,month,month_of_year,pollutant,processing_branch,support_count_mean,support_count_median,support_count_p10,support_count_p90,system_time_start,temporal_support_fraction_mean,temporal_support_mode,valid_area_percent,year,.geo
1_1_1_1_1_00000000000000000020,VALID,FIG_7,1,2019-11,11,CO,CO_DAILY_FIRST,21.447885996937927,20.999999999999993,20.000000000000004,22.999999999999996,1572566400000,0.7149295371463213,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000001e,VALID,FIG_7,1,2019-11,11,NO2,NO2_DAILY_FIRST_LEVEL1,13.553483099752675,13.999999999999998,12.0,14.999999999999995,1572566400000,0.4517827730335428,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000023,VALID,FIG_7,1,2019-12,12,CO,CO_DAILY_FIRST,20.78523583794606,21.000000000000004,19.000000000000004,23.0,1575158400000,0.6704914736310416,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000021,VALID,FIG_7,1,2019-12,12,NO2,NO2_DAILY_FIRST_LEVEL1,7.169245377458485,8.0,4.999999999999999,8.0,1575158400000,0.23126597302575244,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000022,NA_NO_VALID_FINAL_RASTER_DATA,FIG_7,0,2019-12,12,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,0.0,0.0,0.0,0.0,1575158400000,,VALID_ORBITAL_OBSERVATIONS,0.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000000,VALID,FIG_7,1,2020-01,1,NO2,NO2_DAILY_FIRST_LEVEL1,11.131389117889533,10.999999999999998,9.000000000000002,12.999999999999996,1577836800000,0.3590770576176863,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000001,NA_NO_VALID_FINAL_RASTER_DATA,FIG_7,0,2020-01,1,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,0.0,0.0,0.0,0.0,1577836800000,,VALID_ORBITAL_OBSERVATIONS,0.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000002,VALID,FIG_7,1,2020-01,1,CO,CO_DAILY_FIRST,21.416139147332476,21.999999999999993,18.999999999999996,23.000000000000004,1577836800000,0.690843192278065,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000005,VALID,FIG_7,1,2020-02,2,CO,CO_DAILY_FIRST,16.183915322105758,16.0,13.999999999999991,18.0,1580515200000,0.5580660400359582,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000004,VALID,FIG_7,1,2020-02,2,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,4.247318063206727,4.0,4.0,5.0,1580515200000,,VALID_ORBITAL_OBSERVATIONS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000003,VALID,FIG_7,1,2020-02,2,NO2,NO2_DAILY_FIRST_LEVEL1,10.72903662701684,10.999999999999998,8.999999999999996,12.999999999999998,1580515200000,0.36996678109611486,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000008,VALID,FIG_7,1,2020-03,3,CO,CO_DAILY_FIRST,19.62890855022965,19.999999999999993,18.000000000000007,20.999999999999993,1583020800000,0.6331905955537593,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000007,VALID,FIG_7,1,2020-03,3,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,30.76746883154538,31.0,29.0,33.0,1583020800000,,VALID_ORBITAL_OBSERVATIONS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000006,VALID,FIG_7,1,2020-03,3,NO2,NO2_DAILY_FIRST_LEVEL1,19.33350017665764,19.0,18.0,20.999999999999996,1583020800000,0.6236612935094333,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000009,VALID,FIG_7,1,2020-04,4,NO2,NO2_DAILY_FIRST_LEVEL1,21.309658756330208,21.000000000000007,20.0,23.0,1585699200000,0.7103219629742378,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000000a,VALID,FIG_7,1,2020-04,4,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,36.77993621339519,37.0,35.0,38.0,1585699200000,,VALID_ORBITAL_OBSERVATIONS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000000b,VALID,FIG_7,1,2020-04,4,CO,CO_DAILY_FIRST,24.177275939229776,24.000000000000014,22.0,26.00000000000001,1585699200000,0.8059091947116367,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000000c,VALID,FIG_7,1,2020-05,5,NO2,NO2_DAILY_FIRST_LEVEL1,6.479043987751733,6.000000000000003,5.0,8.0,1588291200000,0.2090014127310058,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
