system:index,AOI_mean_mol_m2,AOI_median_mol_m2,AOI_p90_mol_m2,availability_status,figure_id,is_valid_month,month,month_of_year,month_start,pollutant,pollutant_long_name,system_time_start,unit,valid_area_percent,year,.geo
1_1_1_1_1_0000000000000000001e,4.705174567010573E-5,4.468666297475434E-5,6.182973692399671E-5,VALID,FIG_3,1,2019-11,11,2019-11-01,NO2,Tropospheric nitrogen dioxide column number density,1572566400000,mol/m2,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000023,0.03322239563062335,0.03322253817398297,0.03363601022123636,VALID,FIG_3,1,2019-12,12,2019-12-01,CO,Carbon monoxide column number density,1575158400000,mol/m2,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000021,4.1268577761027936E-5,4.179764396142018E-5,4.9800572014646605E-5,VALID,FIG_3,1,2019-12,12,2019-12-01,NO2,Tropospheric nitrogen dioxide column number density,1575158400000,mol/m2,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000022,,,,NA_NO_VALID_FINAL_RASTER_DATA,FIG_3,0,2019-12,12,2019-12-01,SO2,Sulfur dioxide column number density,1575158400000,mol/m2,0.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000000,3.7349850181888334E-5,3.6637833049786774E-5,4.653412476388638E-5,VALID,FIG_3,1,2020-01,1,2020-01-01,NO2,Tropospheric nitrogen dioxide column number density,1577836800000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000001,,,,NA_NO_VALID_FINAL_RASTER_DATA,FIG_3,0,2020-01,1,2020-01-01,SO2,Sulfur dioxide column number density,1577836800000,mol/m2,0.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000002,0.03592279447568816,0.035877373069524765,0.03645262494683266,VALID,FIG_3,1,2020-01,1,2020-01-01,CO,Carbon monoxide column number density,1577836800000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000005,0.03768051721144893,0.037652780366667624,0.03841267856899822,VALID,FIG_3,1,2020-02,2,2020-02-01,CO,Carbon monoxide column number density,1580515200000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000004,7.171281023527446E-4,6.3992606010288E-4,0.0016325846081599593,VALID,FIG_3,1,2020-02,2,2020-02-01,SO2,Sulfur dioxide column number density,1580515200000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000003,4.1246942143446366E-5,4.11937632440924E-5,4.762840256551474E-5,VALID,FIG_3,1,2020-02,2,2020-02-01,NO2,Tropospheric nitrogen dioxide column number density,1580515200000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000008,0.03839871206657222,0.03841272658629084,0.03890277764521109,VALID,FIG_3,1,2020-03,3,2020-03-01,CO,Carbon monoxide column number density,1583020800000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000007,6.879884405366733E-4,6.615886813960969E-4,9.592019487172365E-4,VALID,FIG_3,1,2020-03,3,2020-03-01,SO2,Sulfur dioxide column number density,1583020800000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000006,4.235573478419223E-5,4.1776975194807164E-5,4.963094906997867E-5,VALID,FIG_3,1,2020-03,3,2020-03-01,NO2,Tropospheric nitrogen dioxide column number density,1583020800000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000009,3.50790380364593E-5,3.526362611810991E-5,4.168220766587183E-5,VALID,FIG_3,1,2020-04,4,2020-04-01,NO2,Tropospheric nitrogen dioxide column number density,1585699200000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000000a,2.325757689977637E-4,2.122878358932212E-4,3.1407075584866107E-4,VALID,FIG_3,1,2020-04,4,2020-04-01,SO2,Sulfur dioxide column number density,1585699200000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000000b,0.03967052128644946,0.0396808159530611,0.040307928548222446,VALID,FIG_3,1,2020-04,4,2020-04-01,CO,Carbon monoxide column number density,1585699200000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000000c,2.9503218090466803E-5,3.000654001747224E-5,3.52160437614657E-5,VALID,FIG_3,1,2020-05,5,2020-05-01,NO2,Tropospheric nitrogen dioxide column number density,1588291200000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000000d,1.236085230188166E-4,7.659057882847264E-5,2.889933530241251E-4,VALID,FIG_3,1,2020-05,5,2020-05-01,SO2,Sulfur dioxide column number density,1588291200000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000000e,0.03512140405222296,0.03511784774164201,0.0357293700799346,VALID,FIG_3,1,2020-05,5,2020-05-01,CO,Carbon monoxide column number density,1588291200000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000011,0.03172490114658525,0.031720618903636935,0.03218903538755365,VALID,FIG_3,1,2020-06,6,2020-06-01,CO,Carbon monoxide column number density,1590969600000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000000f,3.3806331909076024E-5,3.179150086028063E-5,4.5391666935756804E-5,VALID,FIG_3,1,2020-06,6,2020-06-01,NO2,Tropospheric nitrogen dioxide column number density,1590969600000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000010,6.451201608027946E-5,6.477110582636669E-5,1.3844984641764313E-4,VALID,FIG_3,1,2020-06,6,2020-06-01,SO2,Sulfur dioxide column number density,1590969600000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000014,0.02997625894344264,0.02979149706661701,0.031057351697148444,VALID,FIG_3,1,2020-07,7,2020-07-01,CO,Carbon monoxide column number density,1593561600000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000012,4.41654424099055E-5,4.0161568258998556E-5,6.068076072551776E-5,VALID,FIG_3,1,2020-07,7,2020-07-01,NO2,Tropospheric nitrogen dioxide column number density,1593561600000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000013,1.238235178393833E-4,1.2693968892563134E-4,2.1194906730670482E-4,VALID,FIG_3,1,2020-07,7,2020-07-01,SO2,Sulfur dioxide column number density,1593561600000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000016,1.1067460809407312E-4,9.41973557928577E-5,2.162529417546466E-4,VALID,FIG_3,1,2020-08,8,2020-08-01,SO2,Sulfur dioxide column number density,1596240000000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000017,0.0313170900789625,0.03136270210878859,0.032129259976251344,VALID,FIG_3,1,2020-08,8,2020-08-01,CO,Carbon monoxide column number density,1596240000000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000015,4.752193691036277E-5,4.6389609969292706E-5,6.014581231283955E-5,VALID,FIG_3,1,2020-08,8,2020-08-01,NO2,Tropospheric nitrogen dioxide column number density,1596240000000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
